Scenario,Instance,Strategy,No. of Single Cycles,No. of Dual Cycles,No. of Rehandles,Operation Time,,
1,1,GA-ILSRS-Scenario-2,399,-,153,51075,,
,2,,385,-,147,49245,,
,3,,387,-,148,49515,,
,4,,388,-,148,49620,,
,5,,398,-,147,50610,,
,6,,386,-,155,49830,,
,7,,396,-,154,50820,,
,8,,394,-,154,50610,,
,9,,389,-,148,49725,,
,10,,396,-,149,50520,,
,11,,399,-,153,51075,,
,12,,391,-,146,49815,,
,13,,389,-,150,49845,,
,14,,389,-,147,49665,,
,15,,391,-,149,49995,,
,16,,384,-,150,49320,,
,17,,388,-,151,49800,,
,18,,393,-,151,50325,,
,19,,398,-,153,50970,,
,20,,389,-,148,49725,,
2,1,,332,-,91,40320,,
,2,,340,-,96,41460,,
,3,,330,-,97,40470,,
,4,,327,-,99,40275,,
,5,,337,-,99,41325,,
,6,,327,-,98,40215,,
,7,,339,-,97,41415,,
,8,,335,-,97,40995,,
,9,,335,-,95,40875,,
,10,,336,-,99,41220,,
,11,,328,-,92,39960,,
,12,,340,-,95,41400,,
,13,,335,-,92,40695,,
,14,,337,-,97,41205,,
,15,,330,-,94,40290,,
,16,,338,-,97,41310,,
,17,,336,-,98,41160,,
,18,,331,-,97,40575,,
,19,,329,-,97,40365,,
,20,,339,-,97,41415,,
3,1,,239,-,88,30375,,
,2,,237,-,88,30165,,
,3,,234,-,86,29730,,
,4,,238,-,90,30390,,
,5,,233,-,90,29865,,
,6,,239,-,84,30135,,
,7,,239,-,86,30255,,
,8,,239,-,86,30255,,
,9,,239,-,90,30495,,
,10,,239,-,88,30375,,
,11,,239,-,90,30495,,
,12,,238,-,90,30390,,
,13,,237,-,89,30225,,
,14,,240,-,87,30420,,
,15,,242,-,88,30690,,
,16,,236,-,86,29940,,
,17,,236,-,85,29880,,
,18,,231,-,88,29535,,
,19,,234,-,87,29790,,
,20,,234,-,89,29910,,
4,1,,151,-,26,17415,,
,2,,146,-,29,17070,,
,3,,144,-,28,16800,,
,4,,143,-,29,16755,,
,5,,144,-,27,16740,,
,6,,149,-,25,17145,,
,7,,153,-,27,17685,,
,8,,153,-,26,17625,,
,9,,150,-,25,17250,,
,10,,144,-,27,16740,,
,11,,151,-,28,17535,,
,12,,145,-,28,16905,,
,13,,152,-,25,17460,,
,14,,152,-,29,17700,,
,15,,146,-,28,17010,,
,16,,147,-,26,16995,,
,17,,151,-,25,17355,,
,18,,145,-,26,16785,,
,19,,152,-,26,17520,,
,20,,149,-,29,17385,,
5,1,,80,-,10,9000,,
,2,,78,-,12,8910,,
,3,,80,-,12,9120,,
,4,,76,-,12,8700,,
,5,,80,-,11,9060,,
,6,,78,-,10,8790,,
,7,,79,-,10,8895,,
,8,,76,-,10,8580,,
,9,,73,-,12,8385,,
,10,,74,-,11,8430,,
,11,,75,-,11,8535,,
,12,,77,-,11,8745,,
,13,,80,-,11,9060,,
,14,,75,-,11,8535,,
,15,,72,-,12,8280,,
,16,,77,-,12,8805,,
,17,,80,-,11,9060,,
,18,,72,-,11,8220,,
,19,,79,-,12,9015,,
,20,,78,-,10,8790,,
6,1,,32,-,3,3540,,
,2,,32,-,3,3540,,
,3,,33,-,3,3645,,
,4,,35,-,3,3855,,
,5,,36,-,3,3960,,
,6,,34,-,3,3750,,
,7,,30,-,3,3330,,
,8,,31,-,3,3435,,
,9,,31,-,3,3435,,
,10,,34,-,3,3750,,
,11,,33,-,3,3645,,
,12,,32,-,3,3540,,
,13,,31,-,3,3435,,
,14,,34,-,3,3750,,
,15,,33,-,3,3645,,
,16,,35,-,3,3855,,
,17,,30,-,3,3330,,
,18,,34,-,3,3750,,
,19,,32,-,3,3540,,
,20,,30,-,3,3330,,
